stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone
TAE:ST:AUTO$38304078,,"LES PEINTRES","",0,0,,,1,,0,
TAE:ST:AUTO$38304079,,"CLAIR MATIN","",0,0,,,1,,0,
TAE:ST:AUTO$38304080,,"ECUYERE","",0,0,,,1,,0,
TAE:ST:AUTO$38304081,,"BOBY  LAPOINTE","",0,0,,,1,,0,
TAE:ST:AUTO$38304082,,"BEAU SITE","",0,0,,,1,,0,
TAE:ST:AUTO$38304084,,"COLLEGE JACQUES BREL","",0,0,,,1,,0,
TAE:ST:AUTO$38304085,,"LA CAPELLIERE","",0,0,,,1,,0,
TAE:ST:AUTO$38304239,,"ANTES NORD","",0,0,,,1,,0,
TAE:ST:AUTO$38304249,,"RENAULT","",0,0,,,1,,0,
TAE:ST:AUTO$38304250,,"ANTES EST","",0,0,,,1,,0,
TAE:ST:AUTO$38304252,,"ANTES OUEST","",0,0,,,1,,0,
TAE:ST:AUTO$38304253,,"ANTES SUD","",0,0,,,1,,0,
TAE:ST:AUTO$38304311,,"TABOUELLE","",0,0,,,1,,0,
TAE:ST:AUTO$38304312,,"LA CHESNAIE","",0,0,,,1,,0,
TAE:ST:AUTO$38304313,,"GRACE DE DIEU","",0,0,,,1,,0,
TAE:ST:AUTO$438885607,,"CHAMP DE FOIRE","",0,0,,,1,,0,
TAE:ST:AUTO$438885636,,"MC DONALDS","",0,0,,,1,,0,
TAE:ST:AUTO$438885800,,"POLE MULTIMODAL DOC COTONI","",0,0,,,1,,0,
TAE:ST:AUTO$438885801,,"ILE AUX BOEUFS","",0,0,,,1,,0,
TAE:ST:AUTO$438885832,,"PLACE BEL AIR","",0,0,,,1,,0,
TAE:ST:AUTO$438885833,,"COTY","",0,0,,,1,,0,
TAE:ST:AUTO$438885834,,"CIMETIERE JEAN JAURES","",0,0,,,1,,0,
TAE:ST:AUTO$438885835,,"CHAMP DU BOIS","",0,0,,,1,,0,
TAE:ST:AUTO$438885836,,"REPUBLIQUE QUAIS","",0,0,,,1,,0,
TAE:ST:AUTO$438885839,,"JEAN MACE","",0,0,,,1,,0,
TAE:ST:AUTO$441588605,,"LES PEINTRES","",0,0,,,1,,0,
TAE:ST:AUTO$441588606,,"CLAIRMATIN","",0,0,,,1,,0,
TAE:ST:AUTO$441588607,,"ECUYERE","",0,0,,,1,,0,
TAE:ST:AUTO$441588608,,"BOBY  LAPOINTE","",0,0,,,1,,0,
TAE:ST:AUTO$441588609,,"BEAU SITE","",0,0,,,1,,0,
TAE:ST:AUTO$441588611,,"COLLEGE JACQUES BREL","",0,0,,,1,,0,
TAE:ST:AUTO$441588612,,"LES CRETES","",0,0,,,1,,0,
TAE:ST:AUTO$441588766,,"ANTES NORD","",0,0,,,1,,0,
TAE:ST:AUTO$441588776,,"RENAULT","",0,0,,,1,,0,
TAE:ST:AUTO$441588777,,"ANTES EST","",0,0,,,1,,0,
TAE:ST:AUTO$441588779,,"ANTES OUEST","",0,0,,,1,,0,
TAE:ST:AUTO$441588780,,"ANTES SUD","",0,0,,,1,,0,
TAE:ST:AUTO$441588838,,"TABOUELLE","",0,0,,,1,,0,
TAE:ST:AUTO$441588839,,"LA CHESNAIE","",0,0,,,1,,0,
TAE:ST:AUTO$441588840,,"GRACE DE DIEU","",0,0,,,1,,0,
TAE:ST:AUTO$461791549,,"CITE DES POTASSES","",0,0,,,1,,0,
TAE:ST:AUTO$461791551,,"PONT DE LA CHAPELLE","",0,0,,,1,,0,
TAE:ST:AUTO$461791552,,"1180 ROUTE DES ROCHES","",0,0,,,1,,0,
TAE:ST:AUTO$461791553,,"44 ROUTE DES ROCHES","",0,0,,,1,,0,
TAE:ST:AUTO$461791554,,"RIMBAUD","",0,0,,,1,,0,
TAE:ST:AUTO$461791555,,"LANGUEDOC","",0,0,,,1,,0,
TAE:ST:AUTO$461791556,,"ZENITH  PARC EXPO","",0,0,,,1,,0,
TAE:ST:AUTO$461791559,,"BRAZZA","",0,0,,,1,,0,
TAE:ST:AUTO$461791560,,"CITE DES OISEAUX","",0,0,,,1,,0,
TAE:ST:AUTO$461791581,,"LE CARPENTIER","",0,0,,,1,,0,
TAE:ST:AUTO$461791582,,"CHENE FOURCHE","",0,0,,,1,,0,
TAE:ST:AUTO$461791584,,"HIPPODROME DES BRULINS","",0,0,,,1,,0,
TAE:ST:AUTO$461791585,,"LA SEINE","",0,0,,,1,,0,
TAE:ST:AUTO$461791586,,"BEDANNE","",0,0,,,1,,0,
TAE:ST:AUTO$461791587,,"RESISTANCE","",0,0,,,1,,0,
TAE:ST:AUTO$461791588,,"CLEON R.N.U.R.","",0,0,,,1,,0,
TAE:ST:AUTO$461791591,,"J.B. CLEMENT","",0,0,,,1,,0,
TAE:ST:AUTO$461791592,,"E. COTTON","",0,0,,,1,,0,
TAE:ST:AUTO$461791741,,"PARC DU CEDRE","",0,0,,,1,,0,
TAE:ST:AUTO$461791750,,"MOULIN SAINT ETIENNE","",0,0,,,1,,0,
TAE:ST:AUTO$461791753,,"EGLISE ST JEAN","",0,0,,,1,,0,
TAE:ST:AUTO$461791754,,"BOUT DU COUVENT","",0,0,,,1,,0,
TAE:ST:AUTO$461791756,,"MAIRIE D ELBEUF","",0,0,,,1,,0,
TAE:ST:AUTO$461791773,,"RENE HEROUX","",0,0,,,1,,0,
TAE:ST:AUTO$461791774,,"CIRQUE THEATRE","",0,0,,,1,,0,
TAE:ST:AUTO$461791782,,"HOPITAL INTERCOMMUNAL","",0,0,,,1,,0,
TAE:ST:AUTO$461791786,,"GUERBETTE","",0,0,,,1,,0,
TAE:ST:AUTO$461791787,,"ST REMY","",0,0,,,1,,0,
TAE:ST:AUTO$461791788,,"POINTE VERTE","",0,0,,,1,,0,
TAE:ST:AUTO$461791807,,"BOIS LANDRY","",0,0,,,1,,0,
TAE:ST:AUTO$461791808,,"CERISIERS","",0,0,,,1,,0,
TAE:ST:AUTO$461791813,,"LA VOIE","",0,0,,,1,,0,
TAE:ST:AUTO$461791814,,"LA CROIX","",0,0,,,1,,0,
TAE:ST:AUTO$461791815,,"MAIRIE DE CLEON","",0,0,,,1,,0,
TAE:ST:AUTO$461791817,,"EGLANTIERS","",0,0,,,1,,0,
TAE:ST:AUTO$461791818,,"LES NOVALES","",0,0,,,1,,0,
TAE:ST:AUTO$461791819,,"DOC. VILLERS","",0,0,,,1,,0,
TAE:ST:AUTO$461791820,,"PETIT CLOS","",0,0,,,1,,0,
TAE:ST:AUTO$461791873,,"NOUVEAU MONDE","",0,0,,,1,,0,
TAE:ST:AUTO$461791874,,"ORIVAL LES ROCHES","",0,0,,,1,,0,
TAE:ST:AUTO$461791877,,"ROCHE FOUET","",0,0,,,1,,0,
TAE:ST:AUTO$461791879,,"LONCHEUX","",0,0,,,1,,0,
TAE:ST:AUTO$461791880,,"LES GROTTES","",0,0,,,1,,0,
TAE:ST:AUTO$461791881,,"ABATTOIRS","",0,0,,,1,,0,
